obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters,version_number
62252913,TESS,timeseries,tess2018349182500-s0006-0000000167526485-0126-s,Light curves,S,mast:TESS/product/tess2018349182500-s0006-0000000167526485-0126-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,fe43d398af,G011047,tess2018349182500-s0006-0000000167526485-0126-s_lc.fits,1598400,62252913,PUBLIC,3,TESS,
62252913,TESS,timeseries,tess2018349182500-s0006-0000000167526485-0126-s,full data validation report (xml),S,mast:TESS/product/tess2018349182737-s0006-s0006-0000000167526485-00415_dvr.xml,INFO,,DVR,,SPOC,fe43d398af,G011047,tess2018349182737-s0006-s0006-0000000167526485-00415_dvr.xml,121087,62252913,PUBLIC,3,TESS,415
27801627,TESS,timeseries,tess2020186164531-s0027-0000000167526485-0189-s,Light curves,S,mast:TESS/product/tess2020186164531-s0027-0000000167526485-0189-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,2834068c03,G03216,tess2020186164531-s0027-0000000167526485-0189-s_lc.fits,1785600,27801627,PUBLIC,3,TESS,
27828404,TESS,timeseries,tess2020212050318-s0028-0000000167526485-0190-s,Light curves,S,mast:TESS/product/tess2020212050318-s0028-0000000167526485-0190-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,2834068c03,G03216,tess2020212050318-s0028-0000000167526485-0190-s_lc.fits,1848960,27828404,PUBLIC,3,TESS,
27906040,TESS,timeseries,tess2020238165205-s0029-0000000167526485-0193-s,Light curves,S,mast:TESS/product/tess2020238165205-s0029-0000000167526485-0193-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,84acfdc5b8,G03216,tess2020238165205-s0029-0000000167526485-0193-s_lc.fits,1915200,27906040,PUBLIC,3,TESS,
27989642,TESS,timeseries,tess2020266004630-s0030-0000000167526485-0195-s,Light curves,S,mast:TESS/product/tess2020266004630-s0030-0000000167526485-0195-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,6373c68b73,G03216,tess2020266004630-s0030-0000000167526485-0195-s_lc.fits,1998720,27989642,PUBLIC,3,TESS,
28147854,TESS,timeseries,tess2020324010417-s0032-0000000167526485-0200-s,Light curves,S,mast:TESS/product/tess2020324010417-s0032-0000000167526485-0200-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,8568991798,G03216,tess2020324010417-s0032-0000000167526485-0200-s_lc.fits,1903680,28147854,PUBLIC,3,TESS,
28229006,TESS,timeseries,tess2020351194500-s0033-0000000167526485-0203-s,Light curves,S,mast:TESS/product/tess2020351194500-s0033-0000000167526485-0203-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,000de7cb58,G03216,tess2020351194500-s0033-0000000167526485-0203-s_lc.fits,1892160,28229006,PUBLIC,3,TESS,
28300067,TESS,timeseries,tess2021014023720-s0034-0000000167526485-0204-s,Light curves,S,mast:TESS/product/tess2021014023720-s0034-0000000167526485-0204-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,f38ca04271,G03216,tess2021014023720-s0034-0000000167526485-0204-s_lc.fits,1854720,28300067,PUBLIC,3,TESS,
60662740,TESS,timeseries,tess2021039152502-s0035-0000000167526485-0205-s,Light curves,S,mast:TESS/product/tess2021039152502-s0035-0000000167526485-0205-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,cd31c713dc,G03216,tess2021039152502-s0035-0000000167526485-0205-s_lc.fits,1828800,60662740,PUBLIC,3,TESS,
60763526,TESS,timeseries,tess2021065132309-s0036-0000000167526485-0207-s,Light curves,S,mast:TESS/product/tess2021065132309-s0036-0000000167526485-0207-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,6f6bdb6525,G03216,tess2021065132309-s0036-0000000167526485-0207-s_lc.fits,1837440,60763526,PUBLIC,3,TESS,
