target_id,planet_name,hostname,source_mission,campaign_quarter,ra_deg,dec_deg,disposition,discovery_method,discovery_year,discovery_facility,stellar_teff_k,stellar_radius_rsun,stellar_mass_msun,stellar_metallicity,stellar_logg,planet_period_days_measured,planet_radius_rearth,planet_mass_mearth,planet_mass_mjup,planet_orbital_eccentricity,planet_insolation,planet_equilibrium_temp_k,time_system,time_offset_bjd,bjd_reference,data_source,lightcurve_type,flux_calibration
BD+20_594,BD+20 594 b,BD+20 594,Kepler,6,53.6511231,20.5990205,CONFIRMED,Transit,2016.0,K2,5703.0,0.956122,0.963861,-0.06,4.38,41.688644,2.35545351,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
BD+20_594,BD+20 594 b,BD+20 594,Kepler,11,53.6511231,20.5990205,CONFIRMED,Transit,2016.0,K2,5766.0,0.928,0.961,-0.15,4.5,41.6855,2.23,16.3,0.05128528,0.0,,546.0,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
BD+20_594,BD+20 594 b,BD+20 594,Kepler,14,53.6511231,20.5990205,CONFIRMED,Transit,2016.0,K2,5766.0,1.08,1.67,-0.15,4.5,41.6855,2.57807,22.2481,0.07,0.0,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201111557,EPIC 201111557.01,EPIC 201111557,K2,6,183.8462454,-6.2683289,CANDIDATE,Transit,2018.0,K2,4616.52,0.762602,0.73,-0.03,4.53679,2.30183,1.12,,,,,1054.0,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201111557,EPIC 201111557.01,EPIC 201111557,K2,1,183.8462454,-6.2683289,CANDIDATE,Transit,2018.0,K2,4720.0,0.710995,,-0.06,4.5,2.302368,1.31258765,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201126503,EPIC 201126503.01,EPIC 201126503,K2,19,175.9385954,-5.8733592,CANDIDATE,Transit,2016.0,K2,3919.0,0.57,,,,1.1947488,4.19,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201127519,EPIC 201127519.01,EPIC 201127519,K2,9,181.3718091,-5.8482738,CANDIDATE,Transit,2018.0,K2,5015.0,0.789478,,0.24,4.67,6.178369,9.91257877,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201127519,EPIC 201127519.01,EPIC 201127519,K2,10,181.3718091,-5.8482738,CANDIDATE,Transit,2018.0,K2,4719.28,0.849432,0.756,0.213,4.45833,6.17887,8.84,,,,,772.0,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201147085,EPIC 201147085.01,EPIC 201147085,K2,14,173.902664,-5.364612,CANDIDATE,Transit,2019.0,K2,,0.309,,,,1.17589,0.86,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201152065,EPIC 201152065.01,EPIC 201152065,K2,16,173.0432884,-5.2471672,CANDIDATE,Transit,2019.0,K2,,0.588,,,,10.6966,1.45,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201160662,EPIC 201160662.01,EPIC 201160662,K2,1,174.9978388,-5.0404536,CANDIDATE,Transit,2019.0,K2,,1.599,,,,1.5374115,45.0,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201164625,EPIC 201164625.01,EPIC 201164625,K2,12,181.5936878,-4.9467043,CANDIDATE,Transit,2018.0,K2,6402.0,3.16745,1.28,,3.54386,2.71189,4.34,,,,,2336.0,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
K2_243,EPIC 201166680.01,K2-243,K2,7,181.1211419,-4.8991358,CANDIDATE,Transit,2018.0,K2,6213.0,1.224685,,0.14,4.32,18.10549,2.09985108,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201170410,EPIC 201170410.02,EPIC 201170410,K2,6,170.1408561,-4.8070039,CONFIRMED,Transit,2020.0,K2,3648.0,0.282,0.287,-0.048,4.999,6.7987,1.047,,,0.0,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201176672,EPIC 201176672.01,EPIC 201176672,K2,9,169.1498727,-4.6564416,CANDIDATE,Transit,2016.0,K2,4542.0,0.508,,,4.747,79.9999,10.2,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201176672,EPIC 201176672.02,EPIC 201176672,K2,17,169.1498727,-4.6564416,CANDIDATE,Transit,2019.0,K2,,0.707,,,,,30.0,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201180665,EPIC 201180665.01,EPIC 201180665,K2,11,184.1697015,-4.5603949,CANDIDATE,Transit,2018.0,K2,5847.0,1.25428,1.06,,4.26659,17.77297,26.44,,,,,830.0,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201182911,EPIC 201182911.01,EPIC 201182911,K2,1,172.7104166,-4.5075924,CANDIDATE,Transit,2016.0,K2,3727.0,0.5,,,,0.99656225,32.8,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201197348,EPIC 201197348.01,EPIC 201197348,K2,11,177.0948891,-4.1644059,CANDIDATE,Transit,2016.0,K2,4224.0,0.65,,,,14.912381,3.55,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201197348,EPIC 201197348.01,EPIC 201197348,K2,15,177.0948891,-4.1644059,CANDIDATE,Transit,2016.0,K2,,0.647,,,,14.9139,3.24,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201231940,EPIC 201231940.01,EPIC 201231940,K2,14,174.1207146,-3.4828286,CANDIDATE,Transit,2016.0,K2,3570.0,0.43,,,,0.57303573,3.35,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201238110,EPIC 201238110 b,EPIC 201238110,K2,19,179.7058532,-3.3894613,CONFIRMED,Transit,2019.0,K2,,,0.41,,,28.1656,1.87,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201238110,EPIC 201238110 b,EPIC 201238110,K2,16,179.7058532,-3.3894613,CONFIRMED,Transit,2019.0,K2,,0.374,,,,28.1696,2.2,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201238110,EPIC 201238110.01,EPIC 201238110,K2,11,179.7058532,-3.3894613,CANDIDATE,Transit,2016.0,K2,,0.374,,,,7.90417,2.06,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
