target_id,tic_id,toi_number,source_mission,sector,ra_deg,dec_deg,ra_str,dec_str,tfopwg_disposition,stellar_teff_k,stellar_radius_rsun,stellar_tmag,stellar_distance_pc,planet_period_days_measured,transit_depth_ppm_measured,transit_duration_hours_measured,planet_radius_rearth,planet_insolation,planet_equilibrium_temp_k,time_system,time_offset_bjd,bjd_reference,data_source,lightcurve_type,flux_calibration
TIC_50365310,50365310,1000.01,TESS,55,112.357708,-12.69596,07h29m25.85s,-12d41m45.46s,FP,10249.0,2.16986,9.604,485.735,2.1713484,656.8860989,2.0172196,5.8181633,22601.9485814,3127.2040524,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_88863718,88863718,1001.01,TESS,4,122.580465,-5.513852,08h10m19.31s,-05d30m49.87s,PC,7070.0,2.01,9.42344,295.862,1.9316462,1286.0,3.166,11.2154,44464.5,4045.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_124709665,124709665,1002.01,TESS,27,104.726966,-10.580455,06h58m54.47s,-10d34m49.64s,FP,8924.0,5.73,9.299501,943.109,1.8675574,1500.0,1.408,23.7529,2860.61,2037.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_106997505,106997505,1003.01,TESS,24,110.559945,-25.207017,07h22m14.39s,-25d12m25.26s,FP,5388.5,,9.3003,7728.17,2.74323,383.41,3.167,,1177.36,1631.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_238597883,238597883,1004.01,TESS,26,122.178195,-48.802811,08h08m42.77s,-48d48m10.12s,FP,9219.0,2.15,9.1355,356.437,3.5730141,755.0,3.37,11.3113,54679.3,4260.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_169904935,169904935,1005.01,TESS,55,120.704811,-11.101521,08h02m49.15s,-11d06m05.48s,FP,5613.0,1.09,9.1309,100.711,4.5505945,3731.0,2.654,7.10841,414.775,1257.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_156115721,156115721,1006.01,TESS,60,124.359239,-27.273521,08h17m26.22s,-27d16m24.68s,FP,6616.0,1.53429,9.2386,,2.5047918,2270.5402194,4.3797563,8.6950898,1750.932635,1649.8220699,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_65212867,65212867,1007.01,TESS,32,112.752393,-4.463359,07h31m00.57s,-04d27m48.09s,PC,6596.0,2.7,8.87759,283.291,6.9989206,2840.0,3.953,14.7752,448.744,1282.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_440801822,440801822,1008.01,TESS,25,109.382839,13.395219,07h17m31.88s,+13d23m42.79s,FP,6858.5,1.57,8.9362,144.297,2.0483755,483.0,2.767,3.19621,5644.4,,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_107782586,107782586,1009.01,TESS,58,111.667845,-24.462111,07h26m40.28s,-24d27m43.6s,PC,8868.7,,8.4331,866.147,1.9600277,1707.6272693,2.0065257,,1063.3422958,1456.4246534,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_231663901,231663901,101.01,TESS,4,318.737012,-55.871863,21h14m56.88s,-55d52m18.71s,KP,5600.0,0.890774,12.4069,375.31,1.4303699,18960.7122944,1.6165994,13.1874503,1281.2408254,1525.9048089,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_139853601,139853601,1010.01,TESS,24,112.293981,-21.832912,07h29m10.56s,-21d49m58.48s,FP,9438.0,1.0,8.45086,485.122,0.6808702,1507.8006889,2.4634563,5.9115908,87140.6995884,4382.0266062,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_114018671,114018671,1011.01,TESS,51,113.984761,-32.841999,07h35m56.34s,-32d50m31.2s,PC,5413.7,0.94,8.2388,52.62,2.4704981,250.0,2.191,1.44656,575.597,1364.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_427508467,427508467,1012.01,TESS,54,117.095285,6.785064,07h48m22.87s,+06d47m06.23s,APC,8928.0,2.72,8.12718,295.959,0.884182,1890.0,1.621,24.8132,112144.0,5098.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_97700520,97700520,1013.01,TESS,11,107.286063,-31.933523,07h09m08.66s,-31d56m00.68s,FP,8868.7,,7.6095,510.295,5.4255548,14939.6342222,3.9637474,,273.5880696,1037.2753045,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_96246348,96246348,1014.01,TESS,20,103.561602,-34.22282,06h54m14.78s,-34d13m22.15s,FP,9307.0,,7.678,224.672,1.4095184,2841.5103258,0.9484999,,1650.422071,1625.6180218,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_155044736,155044736,1015.01,TESS,44,122.895964,-27.971896,08h11m35.03s,-27d58m18.83s,FP,4897.0,6.7996101,10.7069,906.496,1.3730466,1301.5065338,2.5708515,42.1479417,3160.6328329,1912.3318636,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_175310067,175310067,1016.01,TESS,25,116.110771,-36.098285,07h44m26.59s,-36d05m53.83s,FP,7601.0,1.53641,10.6257,368.646,12.6889415,3232.8527885,7.9201001,14.0608342,425.1594177,1158.1310368,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_182943944,182943944,1017.01,TESS,44,124.726411,-37.78325,08h18m54.34s,-37d46m59.7s,FP,6995.2,1.61,10.6019,406.997,1.10422,14177.7,2.37,21.0448,39459.3,3926.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
