tic_id,sector_run
358,38-38
358,65-65
1886,11-11
1886,38-38
17361,11-11
17361,38-38
23369,38-38
31122,38-38
31122,65-65
34900,38-38
34900,65-65
42817,38-38
46937,11-11
46937,38-38
49779,38-38
51431,38-38
51431,65-65
51432,11-11
51432,38-38
51432,65-65
52357,11-11
52357,38-38
52357,65-65
56884,38-38
60583,38-38
60583,65-65
64267,11-11
64267,38-38
67228,11-11
67228,65-65
68904,11-11
68904,38-38
68904,65-65
72331,38-38
72677,38-38
72677,65-65
73478,11-11
73478,38-38
73478,65-65
74178,38-38
91961,11-11
101462,11-11
101462,65-65
102030,11-11
102030,38-38
102030,65-65
102723,11-11
102723,38-38
102723,65-65
110820,38-38
110820,65-65
111768,11-11
111768,38-38
111768,65-65
113883,11-11
113883,38-38
113883,65-65
120016,11-11
120016,38-38
120016,65-65
131769,11-11
131769,38-38
131769,65-65
134947,11-11
134947,38-38
134947,65-65
146287,11-11
146287,38-38
146287,65-65
148146,11-11
148146,38-38
148146,65-65
159261,11-11
159261,38-38
159261,65-65
160023,65-65
164684,11-11
164684,38-38
164684,65-65
164844,11-11
164844,38-38
164844,65-65
167710,38-38
592638,5-5
592638,32-32
593228,5-5
593228,32-32
593230,5-5
593230,32-32
627018,5-5
627018,32-32
627436,5-5
627436,32-32
671393,5-5
671393,32-32
671564,5-5
671564,32-32
672624,5-5
672624,32-32
675445,5-5
710783,5-5
710783,32-32
737327,5-5
737327,32-32
737546,5-5
737546,32-32
759171,34-34
759171,7-7
759171,61-61
800254,8-8
827160,34-34
827160,7-7
827160,61-61
857186,42-42
860526,34-34
860526,8-8
860526,61-61
862763,34-34
862763,8-8
862763,61-61
867234,34-34
867234,8-8
877622,34-34
877622,7-7
884174,42-42
889317,34-34
889317,61-61
909930,42-42
914472,42-42
927257,34-34
927257,8-8
927554,34-34
927554,7-7
927554,8-8
927579,7-7
927579,8-8
927579,61-61
968447,42-42
971500,61-61
971500,8-8
990903,9-9
990903,36-36
990903,45-45
990903,62-62
991164,36-36
991164,62-62
991164,72-72
993305,42-42
993706,42-42
1003831,34-34
1003831,8-8
1003831,61-61
1006569,9-9
1006569,36-36
1006569,45-45
1006569,46-46
1006569,62-62
1006569,72-72
1006575,9-9
1006575,36-36
1006575,45-45
1006575,46-46
1006575,62-62
1006575,72-72
1008555,9-9
1008555,45-45
1008931,9-9
1008931,36-36
1008931,45-45
1008931,46-46
1008931,62-62
1008931,72-72
1011834,34-34
1011834,35-35
1011834,61-61
1011834,62-62
1018843,34-34
1018843,8-8
1018843,35-35
1018843,61-61
1018843,62-62
1026849,45-45
1026849,46-46
1026849,72-72
1027928,21-21
1027928,46-46
1027928,48-48
1029392,4-4
1031405,4-4
1045298,4-4
1097360,48-48
1103214,48-48
1103214,21-21
1103432,8-8
1103432,61-61
1111192,34-34
1111192,8-8
1111192,61-61
1112837,4-4
1112837,31-31
1114721,48-48
1117952,4-4
1117952,31-31
1118180,4-4
1118180,31-31
1119704,31-31
1119704,4-4
1122511,4-4
1122511,31-31
1124146,4-4
1124146,31-31
1129033,4-4
1129033,31-31
1129237,4-4
1129452,4-4
1129452,31-31
1133072,34-34
1133072,8-8
1133072,35-35
1167538,5-5
1167538,32-32
1167538,31-31
1190662,8-8
1190662,35-35
1190662,61-61
1190662,62-62
1202347,8-8
1202347,61-61
1202347,62-62
1220444,5-5
1220444,32-32
1230647,8-8
1230647,35-35
1230647,62-62
1232360,8-8
1232360,35-35
1232360,61-61
1232360,62-62
1255778,35-35
1273249,5-5
1273249,32-32
1274935,5-5
1274935,32-32
1274935,31-31
1308855,5-5
1308855,31-31
1308855,32-32
1332868,32-32
1354145,32-32
1403938,8-8
1403938,35-35
1403938,62-62
1407086,34-34
1407086,8-8
1407086,62-62
1439071,5-5
1439071,32-32
1449640,5-5
1449640,32-32
1450518,5-5
1450518,32-32
1461316,39-39
1505227,35-35
1521462,8-8
1521462,35-35
1521462,62-62
1525480,9-9
1525480,35-35
1525480,62-62
1528696,5-5
1528696,32-32
1535810,5-5
1535810,32-32
1536984,34-34
1536984,8-8
1536984,61-61
1538794,9-9
1538794,36-36
1538794,63-63
1587780,63-63
1594806,34-34
1594806,8-8
1594806,61-61
1599403,34-34
1599403,8-8
1599403,61-61
1636399,13-13
1641642,27-27
1641642,13-13
1649643,8-8
1649643,61-61
1649643,34-34
1678825,34-34
1678825,8-8
1678825,61-61
1681286,35-35
1681286,62-62
1692251,61-61
1692251,62-62
1694373,64-64
1694373,46-46
1695417,37-37
1695417,46-46
1695417,10-10
1713134,35-35
1713134,62-62
1713134,72-72
1727745,10-10
1727745,37-37
1727745,46-46
1727745,64-64
1728294,10-10
1728294,37-37
1728294,46-46
1728294,64-64
1733557,35-35
1733557,62-62
1736351,10-10
1736351,37-37
1736351,46-46
1740238,35-35
1740238,62-62
1740238,61-61
1742152,35-35
1742152,61-61
1742152,62-62
1751774,43-43
1751774,44-44
1751774,19-19
1751774,45-45
1758607,10-10
1758607,37-37
1758607,46-46
1758607,64-64
1827590,43-43
1827590,44-44
1827590,45-45
1832556,19-19
1832556,43-43
1832556,44-44
1832556,45-45
1832935,43-43
1832935,45-45
1841543,19-19
1841543,43-43
1841543,44-44
1841543,45-45
1841543,59-59
1841543,71-71
1841543,73-73
1870180,35-35
1870180,62-62
1870180,61-61
1942969,59-59
1942969,71-71
1942969,73-73
2004993,19-19
2004993,43-43
2004993,44-44
2004993,45-45
2004993,59-59
2004993,71-71
2004993,73-73
2006984,19-19
2006984,43-43
2006984,44-44
2006984,45-45
2006984,59-59
2006984,73-73
2013258,44-44
2013258,45-45
2013258,43-43
2013258,19-19
2020964,8-8
2020964,35-35
2020964,61-61
2020964,62-62
2104696,43-43
2104696,44-44
2104696,45-45
2104696,59-59
2104696,71-71
2104696,73-73
2105180,43-43
2105180,44-44
2105180,45-45
2105180,19-19
2149979,19-19
2149979,43-43
2149979,44-44
2149979,45-45
2149979,73-73
2149979,71-71
2149979,59-59
2228954,19-19
2228954,43-43
2228954,44-44
2228954,45-45
2233583,19-19
2234692,19-19
2234692,43-43
2234692,44-44
2234692,71-71
2234692,73-73
2234692,45-45
2234723,19-19
2234723,43-43
2234723,44-44
2234723,45-45
2234723,59-59
2234723,71-71
2234723,73-73
2236015,19-19
2236015,43-43
2236015,44-44
2236015,45-45
2236015,59-59
2236015,71-71
2236015,73-73
2236662,19-19
2236662,43-43
2236662,44-44
2236662,45-45
2333933,43-43
