Parameter Source Pipeline,Detection Pipeline(s),TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TIC Right Ascension 2015.5,TIC Declination 2015.5,TMag Value,TMag Uncertainty,Orbital Epoch Value,Epoch Uncertainty,Orbital Period (days) Value,Orbital Period Uncertainty,Transit Duration (hours) Value,Transit Duration (hours) Uncertainty,Transit Depth Value,Transit Depth Uncertainty,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Planet Number,Star Radius Value,Star Radius Uncertainty,Planet Radius Value,Planet Radius Uncertainty,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,Master,SG1a,SG1b,SG2,SG3,SG4,SG5,Alerted,Updated
spoc-s01-s69-b0A-APC,SPOC,302333151,2315.01,PC,320.52413,-27.55439,320.524083251,-27.5544090413,11.004,0.018,2062.3731490074556,0.00036986158,1.440707017712051,1.7613972e-06,1.8086851558240968,0.048962984,4514.403992462804,164.745,"[28, 68]",v-shaped; also observed in S01,4.3,0.6,1,1.1648900508880615,0.0570854,9.9844910267577,1.320125,1826.337167931928,5941.2,5990.0,2629.328397797159,44.8252,False,3,4,3,3,4,4,4,2020-10-01 13:35:30.646887+00:00,2025-03-07 00:49:55.900000+00:00
spoc-s01-s36-b0A-CPKP,SPOC/QLP,144065872,105.01,KP,337.457199,-48.003087,337.457824261,-48.0030987783,9.48,0.02,2084.58501,0.00011,2.184666948720648,4.851188e-07,2.8652800157435805,0.009074817,11708.02285488866,34.928566,"[1, 28]",WASP-95; epoch kept from qlp-s28-tois,4.37759,0.0,1,1.2382400035858154,0.0596985,13.702852670324999,0.66197515,1549.4409801056534,5630.0,0.0,1362.1381428405964,349.33414,False,5,5,5,5,5,5,5,2018-09-05 18:49:20+00:00,2025-03-25 20:53:58.400000+00:00
spoc-s01-s69-b0A-PC,QLP,147203645,166.01,PC,323.195894,-44.017794,323.196085724,-44.0180363363,10.696,0.018,2065.316593308753,0.0005116646,5.0611314751549275,3.9168817e-06,1.5562414194691216,0.055441506,5276.034930159036,262.57532,"[1, 28, 68]",,4.45,0.36,1,1.0021699666976929,0.0537965,9.148430171144915,1.1914712,1002.9601067919774,5254.0,152.9,239.1418794607065,39.23764,False,3,4,3,3,4,4,4,2018-09-05 18:52:24+00:00,2024-05-01 19:09:31.752000+00:00
spoc-s01-s36-b0A-CPKP,SPOC/QLP,231670397,104.01,KP,319.949611,-58.148876,319.949696865,-58.148932843,9.848,0.018,3150.6086768,0.0006817,4.0872956,2.3e-06,5.586113047476104,0.050875474,3572.1712498597267,35.689426,"[1, 27, 67]",WASP-73 b,3.93359,0.0,1,2.218669891357422,0.102573,13.623773176460373,0.65182334,1755.0767383266264,6036.0,0.0,2242.36054008399,48.678577,False,5,5,5,5,5,5,5,2018-09-05 18:49:20+00:00,2023-10-16 16:28:02.764000+00:00
spoc-s01-s39-b0A-CP,QLP,271893367,150.01,CP,112.9656531,-73.6061527,112.965421004,-73.6060357814,10.902999999999999,0.006,2995.6456277614902,0.0014220501,5.857407537597273,3.0940705e-06,5.854802929345194,0.02472023,6489.730234578722,26.96511,"[9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 61, 62]",TOI 150 b,4.03,0.08,1,1.6798700094223022,0.0741256,13.889276153257445,0.61632216,1335.1143400762032,5982.9,108.8,750.9220273143225,157.52177,False,5,5,5,5,5,5,5,2018-09-05 18:34:59+00:00,2023-10-05 10:29:46.276000+00:00
spoc-s01-s69-b0A-PC,QLP,260985861,149.01,PC,76.635855,-80.76818100000001,76.635858,-80.768114,10.14,0.018000000000000002,1597.939862972544,0.0002238981,3.339943176422662,1.3291042e-06,4.2534704091359234,0.029700065,9074.078783235629,77.09109,"[11, 12, 13, 27, 28, 38, 39, 61, 62, 65, 66, 67, 68]",multiple stars in pixel; no stellar radius,NaN,NaN,1,NaN,NaN,NaN,NaN,1219.351911739378,5095.6,1212.6,522.4427099480755,117.076,False,3,4,3,3,4,4,4,2018-09-05 18:35:00+00:00,2024-02-23 12:26:28.993000+00:00
spoc-s01-s36-b0A-CPKP,QLP,183120439,169.01,CP,16.778347,-75.19887800000001,16.7786878953,-75.1989451671,11.788,0.006,2062.7180517152356,0.0012657759,2.2554459223652765,4.458845e-06,1.667860404811363,0.04603705,5283.710390069938,144.01193,"[13, 27, 28]",TOI 169 b,4.23,0.07,1,1.2966099977493286,0.0621181,11.053529284219369,0.5730389,1579.7828846784482,5817.0,126.7,1472.009521743884,34.75056,False,3,4,3,3,4,4,4,2018-09-05 18:52:24+00:00,2022-10-17 17:35:31.810000+00:00
spoc-s28-b02,SPOC,279327604,2489.01,PC,332.55326,-45.04964,332.55309179,-45.0496139855,11.167,0.018,2062.9453105019206,0.0015360286,1.4269510086260226,0.00017235531,1.3367863288415422,0.12652673,2881.710638715895,218.62526,[28],Potential odd-even,4.6,0.1,1,1.02349,0.0640201,8.828118781767618,12.0227165,1528.3477807125803,5421.0,5412.1,1289.4656111394258,14.413239,False,3,4,3,3,4,4,4,2021-02-19 00:11:34.227973+00:00,2021-02-17 18:41:38.540000+00:00
qlp-s32-ffi,SPOC/QLP,176984236,405.01,EB,101.909386,-66.328353,101.909492498,-66.3283168757,10.539,0.018,2199.3256407,0.0003474,1.7560902,1.1e-06,1.763,0.26,1650.0,1.08733,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32]",NEB on 176984248; TFOP FP retired as NEB,4.28,2.01,1,1.29,NaN,7.52118,NaN,0.0,6249.0,338.7,1923.34,84.0,False,5,5,5,5,5,5,5,2019-01-16 19:24:29+00:00,2021-12-07 15:34:09.725000+00:00
sector-01-qlp-alerts,QLP,382302241,151.01,EB,83.348955,-58.745231,83.3491214325,-58.745092569,10.976,0.018,1326.05013,0.002,1.59782,6e-05,1.49,0.296,1713.69,4.56,[1],Large with possible synchronization; SG1 confirms NEB,4.72,0.2,1,0.79,0.02,3.59995,0.207255,1548.0,5037.6,64.8,955.676,32.0,False,5,5,5,5,5,5,5,2018-09-05 18:34:59+00:00,2021-12-07 18:03:48.653000+00:00
