tic_id,sector_run
2046417955,16-16
2046417955,57-57
2046417955,77-77
2049710324,77-77
2050378077,58-58
2050524843,25-25
2050524843,24-24
2051450909,58-58
2051450909,73-73
2051450909,59-59
2051450909,52-52
2051607908,52-52
2051607908,58-58
2051607908,59-59
2051607908,73-73
2051607908,53-53
2052252536,42-42
2052272327,42-42
2052272327,70-70
2052272327,69-69
2052400277,42-42
2052400277,70-70
2052402494,42-42
2052420950,70-70
2052420950,42-42
2052429988,70-70
2052429988,42-42
2052467424,70-70
2052474414,70-70
2052515084,70-70
2052554960,42-42
2052572348,70-70
2052770532,42-42
2052782014,70-70
2052819468,42-42
2052819468,70-70
2052825140,42-42
2052825140,70-70
2052876331,42-42
2052876331,56-56
2052876331,70-70
2052881020,42-42
2052915082,70-70
2052933035,56-56
2052958927,70-70
2052969876,56-56
2052969876,70-70
2053099721,56-56
2053185942,42-42
2053185942,70-70
2053191180,70-70
2053193606,42-42
2053213344,42-42
2053473094,56-56
2053565977,56-56
2053578164,56-56
2053586891,56-56
2053697656,56-56
2053743504,56-56
2053827857,56-56
2054339595,57-57
2054358343,57-57
2055070877,68-68
2055217415,28-28
2055217415,68-68
2055733261,29-29
2056048647,68-68
10002013421,72-72
